#X Y timestamp framecnt Z flag
118.6 61.8 1654240455.34 1450167 0.0 0
118.6 64.4 1654240458.63 1454353 0.0 0
118.6 67.0 1654240461.92 1458538 0.0 0
118.6 69.6 1654240465.21 1462724 0.0 0
118.6 72.2 1654240468.5 1466907 0.0 0
118.6 74.8 1654240471.79 1471091 0.0 0
118.6 77.4 1654240475.08 1475277 0.0 0
118.6 80.0 1654240478.37 1479461 0.0 0
118.6 82.6 1654240481.66 1483645 0.0 0
118.6 85.2 1654240484.95 1487828 0.0 0
118.6 87.8 1654240488.24 1492013 0.0 0
118.6 90.4 1654240491.54 1496200 0.0 0
118.6 93.0 1654240494.83 1500384 0.0 0
118.6 95.6 1654240498.12 1504568 0.0 0
118.6 98.2 1654240501.41 1508752 0.0 0
118.6 100.8 1654240504.7 1512936 0.0 0
118.6 103.4 1654240507.99 1517121 0.0 0
118.6 106.0 1654240511.28 1521306 0.0 0
118.6 108.6 1654240514.57 1525489 0.0 0
118.6 111.2 1654240517.86 1529675 0.0 0
118.6 113.8 1654240521.16 1533861 0.0 0
118.6 116.4 1654240524.45 1538044 0.0 0
118.6 119.0 1654240527.74 1542228 0.0 0
118.6 121.6 1654240531.03 1546413 0.0 0
118.6 124.2 1654240534.32 1550596 0.0 0
118.6 126.8 1654240537.61 1554781 0.0 0
118.6 129.4 1654240540.9 1558966 0.0 0
118.6 132.0 1654240544.19 1563150 0.0 0
118.6 134.6 1654240547.48 1567333 0.0 0
118.6 137.2 1654240550.77 1571516 0.0 0
118.6 139.8 1654240554.06 1575700 0.0 0
118.6 142.4 1654240557.35 1579885 0.0 0
118.6 145.0 1654240560.64 1584071 0.0 0
121.2 15.0 1654240572.45 1599086 0.0 0
121.2 17.6 1654240575.74 1603269 0.0 0
121.2 20.2 1654240579.03 1607452 0.0 0
121.2 22.8 1654240582.32 1611637 0.0 0
121.2 25.4 1654240585.61 1615822 0.0 0
121.2 28.0 1654240588.9 1620005 0.0 0
121.2 30.6 1654240592.19 1624189 0.0 0
121.2 33.2 1654240595.48 1628374 0.0 0
121.2 35.8 1654240598.77 1632558 0.0 0
121.2 38.4 1654240602.06 1636742 0.0 0
121.2 41.0 1654240605.36 1640927 0.0 0
121.2 43.6 1654240608.65 1645110 0.0 0
121.2 46.2 1654240611.94 1649294 0.0 0
121.2 48.8 1654240615.23 1653477 0.0 0
121.2 51.4 1654240618.52 1657661 0.0 0
121.2 54.0 1654240621.81 1661844 0.0 0
121.2 56.6 1654240625.1 1666027 0.0 0
121.2 59.2 1654240628.39 1670211 0.0 0
121.2 61.8 1654240631.68 1674394 0.0 0
121.2 64.4 1654240634.97 1678577 0.0 0
121.2 67.0 1654240638.26 1682761 0.0 0
121.2 69.6 1654240641.55 1686945 0.0 0
121.2 72.2 1654240644.84 1691131 0.0 0
121.2 74.8 1654240648.13 1695315 0.0 0
121.2 77.4 1654240651.42 1699498 0.0 0
121.2 80.0 1654240654.71 1703683 0.0 0
121.2 82.6 1654240658.0 1707867 0.0 0
121.2 85.2 1654240661.29 1712051 0.0 0
121.2 87.8 1654240664.58 1716234 0.0 0
121.2 90.4 1654240667.87 1720419 0.0 0
121.2 93.0 1654240671.16 1724603 0.0 0
121.2 95.6 1654240674.45 1728786 0.0 0
121.2 98.2 1654240677.74 1732970 0.0 0
121.2 100.8 1654240681.03 1737155 0.0 0
121.2 103.4 1654240684.32 1741339 0.0 0
121.2 106.0 1654240687.61 1745523 0.0 0
121.2 108.6 1654240690.9 1749708 0.0 0
121.2 111.2 1654240694.2 1753893 0.0 0
121.2 113.8 1654240697.48 1758074 0.0 0
121.2 116.4 1654240700.77 1762258 0.0 0
121.2 119.0 1654240704.07 1766443 0.0 0
121.2 121.6 1654240707.36 1770627 0.0 0
